nombre,grupoMuscular,tipo,implemento,dificultad,archivoGif,descripcion,regresion,progresion
"Ab Completo","core;abdominales",bilateral,peso_corporal,intermedio,AbCompleto.gif,"Ejercicio bilateral de core y abdominales","Ab Crunch","V-ups"
"Ab Crunch","core;abdominales",bilateral,peso_corporal,intermedio,AbCrunch.gif,"Ejercicio bilateral de core y abdominales","Crunch asistido","Ab Completo"
"Aperturas En Y","espalda;hombros",bilateral,peso_corporal,intermedio,AperturasEnY.gif,"Ejercicio bilateral de espalda y hombros","Versión más simple o con apoyo","Versión más desafiante"
"Biceps Mancuernas ( 1)","brazos",bilateral,mancuernas,intermedio,BicepsMancuernas (1).gif,"Ejercicio bilateral de brazos","Versión con peso corporal","Mayor peso o movimiento más complejo"
"Biceps Mancuernas Alternado","brazos",alternado,mancuernas,intermedio,BicepsMancuernasAlternado.gif,"Ejercicio alternado de brazos","Curl de bíceps sentado","Curl de bíceps con peso mayor"
"Bicho Muerto","core;abdominales",bilateral,peso_corporal,intermedio,BichoMuerto.gif,"Ejercicio bilateral de core y abdominales","Versión más simple o con apoyo","Versión más desafiante"
"Bird Dog","general",bilateral,peso_corporal,intermedio,BirdDog.gif,"Ejercicio bilateral de general","Versión más simple o con apoyo","Versión más desafiante"
"Bird Dog Alto","general",alternado,peso_corporal,intermedio,BirdDogAlto.gif,"Ejercicio alternado de general","Versión más simple o con apoyo","Versión más desafiante"
"Burpee L 1(bajoimpacto)","cardio;cuerpo_completo",bilateral,peso_corporal,avanzado,BurpeeL1(bajoimpacto).gif,"Ejercicio bilateral de cardio y cuerpo_completo","Squat thrust sin salto","Burpee L 2gif"
"Burpee L 2gif","cardio;cuerpo_completo",bilateral,peso_corporal,avanzado,BurpeeL2gif.gif,"Ejercicio bilateral de cardio y cuerpo_completo","Burpee L 1(bajoimpacto)","Burpee L 3"
"Burpee L 3","cardio;cuerpo_completo",bilateral,peso_corporal,avanzado,BurpeeL3.gif,"Ejercicio bilateral de cardio y cuerpo_completo","Burpee L 2gif","Burpee L 4"
"Burpee L 4","cardio;cuerpo_completo",bilateral,peso_corporal,avanzado,BurpeeL4.gif,"Ejercicio bilateral de cardio y cuerpo_completo","Versión intermedia","Agregar peso o complejidad"
"Caminata Lateral Minibanda","general",bilateral,peso_corporal,intermedio,CaminataLateralMinibanda.gif,"Ejercicio bilateral de general","Versión más simple o con apoyo","Versión más desafiante"
"Caminata Oso Frontal","general",bilateral,peso_corporal,intermedio,CaminataOsoFrontal.gif,"Ejercicio bilateral de general","Versión más simple o con apoyo","Versión más desafiante"
"Caminata Oso Lateral","general",bilateral,peso_corporal,intermedio,CaminataOsoLateral.gif,"Ejercicio bilateral de general","Versión más simple o con apoyo","Versión más desafiante"
"Camino Manos + Rotaciony Pushup","brazos;pecho;hombros",bilateral,peso_corporal,intermedio,CaminoManos+RotacionyPushup.gif,"Ejercicio bilateral de brazos y pecho y hombros","Versión más simple o con apoyo","Versión más desafiante"
"Clam Con Minibanda","general",bilateral,peso_corporal,intermedio,ClamConMinibanda.gif,"Ejercicio bilateral de general","Versión más simple o con apoyo","Versión más desafiante"
"Codoa Rodilla Contraria","general",bilateral,peso_corporal,principiante,CodoaRodillaContraria.gif,"Ejercicio bilateral de general","Versión asistida o con apoyo","Versión estándar"
